flight_id,departure_airport_code,arrival_airport_code,departure_datetime,arrival_datetime,flight_duration_hours,airline_name,flight_status
1,CSF,FLW,12/4/2022,6/23/2022,23.21,Vipe,Cancelled
2,BOE,EVD,10/17/2022,8/24/2022,4.95,Photojam,On-time
3,AIZ,ATS,3/12/2022,2/18/2022,22.22,Rhyloo,Delayed
4,HDE,THT,2/17/2022,4/7/2022,9.03,Kanoodle,On-time
5,PAL,KAO,11/21/2022,2/22/2022,17.48,Meembee,Delayed
6,KUX,LBM,9/28/2022,3/13/2022,18.43,Wikibox,Delayed
7,DLD,LFM,1/26/2022,4/28/2022,14.86,Pixope,On-time
8,SSX,REX,7/20/2022,10/30/2022,11.85,Tazzy,Cancelled
9,TUK,ARE,8/24/2022,1/19/2022,16.55,Twinte,On-time
10,ECI,MCR,1/30/2022,2/6/2022,11.34,Edgeify,Delayed
11,UIR,PNX,9/6/2022,8/18/2022,14.02,Edgewire,On-time
12,USQ,TMR,7/26/2022,4/27/2022,17.36,Trunyx,Delayed
13,FNT,LBZ,7/20/2022,7/11/2022,13.52,Gevee,Delayed
14,TVS,ULH,12/5/2022,8/8/2022,18.5,Pixoboo,Cancelled
15,UYL,ERZ,7/5/2022,2/16/2022,3.26,Camimbo,On-time
16,OXY,BYW,8/4/2022,6/15/2022,2.36,Brightdog,Cancelled
17,ANR,NCS,1/29/2022,4/4/2022,11.24,Snaptags,On-time
18,PAX,PBM,4/19/2022,4/19/2022,10.76,Katz,Delayed
19,YGX,HOV,2/18/2022,2/1/2022,15.67,Rooxo,Delayed
20,SAR,AJJ,9/17/2022,4/15/2022,8.02,Skibox,Cancelled
,ESP,0,10/6/2022,8/27/2022,8.55,Voolith,Cancelled
22,HIN,MEQ,3/23/2022,4/24/2022,16.82,Jamia,Delayed
23,ECI,YQZ,2/8/2022,4/15/2022,16.98,Bubbletube,Cancelled
24,ABN,KAU,8/17/2022,8/16/2022,12.57,Trudoo,On-time
25,YEO,TCK,3/6/2022,4/12/2022,14.14,Yambee,Cancelled
26,NVI,GYL,7/17/2022,5/24/2022,11.75,Innotype,Cancelled
27,GZA,TDW,8/13/2022,3/12/2022,22.77,Jayo,Cancelled
28,IQQ,IOW,1/27/2022,3/19/2022,21.67,Tavu,On-time
29,XLU,HRL,5/18/2022,2/23/2022,20.56,Quatz,Delayed
30,AVA,EVN,5/27/2022,7/9/2022,8.58,Nlounge,Cancelled
,SLP,FRL,10/13/2022,1/22/2022,5.21,Zoomzone,Cancelled
